_id,wards,district,price,square
6063228d2b913443a2cfc9d7,Tam Hiệp,Phúc Thọ,5111.0,53.8
606322902b913443a2cfc9d8,Trâu Quỳ,Gia Lâm,61540.0,905.0
606322a12b913443a2cfc9d9,Trung Hòa,Cầu Giấy,14540.0,145.4
606322ad2b913443a2cfc9da,Thịnh Liệt,Hoàng Mai,1500.0,30.0
606322af2b913443a2cfc9db,Mai Dịch,Cầu Giấy,9800.0,48.0
606322b52b913443a2cfc9dc,Quỳnh Lôi,Hai Bà Trưng,13490.0,90.0
606322bc2b913443a2cfc9dd,Láng Thượng,Đống Đa,3300.0,33.0
606322be2b913443a2cfc9de,Vạn Phúc,Hà Đông,4200.0,66.0
606322bf2b913443a2cfc9df,Thành Công,Ba Đình,1450.0,50.0
606322c02b913443a2cfc9e0,Xuân La,Tây Hồ,5550.0,111.0
606322cb2b913443a2cfc9e1,Định Công,Hoàng Mai,4800.0,48.0
606322cc2b913443a2cfc9e2,UNKNOW,Đống Đa,1500.0,68.0
606322df2b913443a2cfc9e3,UNKNOW,Bắc Từ Liêm,4100.0,63.0
606322e42b913443a2cfc9e4,Thanh Xuân Trung,Thanh Xuân,6000.0,55.0
606322e72b913443a2cfc9e5,Hoàng Văn Thụ,Hoàng Mai,2650.0,30.0
606322f52b913443a2cfc9e6,Văn Điển,Thanh Trì,1584.0,36.0
606322f72b913443a2cfc9e7,Đức Giang,Long Biên,9000.0,57.0
606322fa2b913443a2cfc9e8,Lê Đại Hành,Hai Bà Trưng,2990.0,21.0
606322fb2b913443a2cfc9e9,Trung Phụng,Đống Đa,67000.0,142.0
606322fd2b913443a2cfc9ea,Tứ Hiệp,Thanh Trì,2600.0,37.0
606323022b913443a2cfc9eb,Khương Đình,Thanh Xuân,3400.0,62.0
606323062b913443a2cfc9ec,Láng Hạ,Đống Đa,8450.0,50.0
606323122b913443a2cfc9ed,Trung Văn,Nam Từ Liêm,2898.0,126.0
606323192b913443a2cfc9ee,Quất Động,Thường Tín,2296.0,82.0
6063231a2b913443a2cfc9ef,Láng Hạ,Đống Đa,3300.0,30.0
6063231b2b913443a2cfc9f0,Bưởi,Tây Hồ,1500.0,55.0
606323242b913443a2cfc9f1,UNKNOW,Thường Tín,997.0,95.0
606323292b913443a2cfc9f2,Phương Mai,Đống Đa,4200.0,30.0
6063232d2b913443a2cfc9f3,Hàng Bột,Đống Đa,4200.0,55.0
6063232e2b913443a2cfc9f4,Dịch Vọng Hậu,Cầu Giấy,4500.0,42.0
6063232f2b913443a2cfc9f5,Trâu Quỳ,Gia Lâm,1600.0,40.0
606323352b913443a2cfc9f6,Quất Động,Thường Tín,710.0,75.0
606323382b913443a2cfc9f7,Hoàng Liệt,Hoàng Mai,4500.0,50.0
6063233a2b913443a2cfc9f8,Bùi Thị Xuân,Hai Bà Trưng,26000.0,40.0
6063233a2b913443a2cfc9f9,Bồ Đề,Long Biên,4050.0,40.0
6063233f2b913443a2cfc9fa,Thổ Quan,Đống Đa,3500.0,70.0
606323412b913443a2cfc9fb,Mỹ Đình 2,Nam Từ Liêm,4790.0,39.0
606323422b913443a2cfc9fc,Dịch Vọng Hậu,Cầu Giấy,27900.0,100.0
606323452b913443a2cfc9fd,Đại Mỗ,Nam Từ Liêm,1400.0,45.0
606323462b913443a2cfc9fe,Vạn Phúc,Hà Đông,3400.0,49.0
6063234c2b913443a2cfc9ff,Quang Trung,Đống Đa,700.0,45.0
6063234d2b913443a2cfca00,Minh Khai,Hai Bà Trưng,5950.0,52.0
606323512b913443a2cfca01,Khâm Thiên,Đống Đa,2600.0,34.0
606323532b913443a2cfca02,Giang Biên,Long Biên,6750.0,90.0
606323542b913443a2cfca03,Nhân Chính,Thanh Xuân,12500.0,150.0
606323562b913443a2cfca04,Định Công,Hoàng Mai,3050.0,30.0
606323572b913443a2cfca05,Quang Trung,Hà Đông,6000.0,52.0
606323592b913443a2cfca06,Nhân Chính,Thanh Xuân,9300.0,71.0
6063235a2b913443a2cfca07,Liên Ninh,Thanh Trì,1650.0,60.0
6063235b2b913443a2cfca08,Mễ Trì,Nam Từ Liêm,2700.0,31.0
6063235c2b913443a2cfca09,Văn Chương,Đống Đa,4350.0,33.0
606323602b913443a2cfca0a,Quỳnh Mai,Hai Bà Trưng,2600.0,30.0
606323612b913443a2cfca0b,Kiến Hưng,Hà Đông,3300.0,51.0
606323642b913443a2cfca0c,Quang Trung,Đống Đa,6000.0,30.0
606323692b913443a2cfca0d,Yên Hòa,Cầu Giấy,32000.0,111.0
6063236c2b913443a2cfca0e,Trung Liệt,Đống Đa,17000.0,70.0
6063236e2b913443a2cfca0f,UNKNOW,Hoàng Mai,3700.0,45.0
6063236f2b913443a2cfca10,UNKNOW,Hoàng Mai,3300.0,42.0
606323702b913443a2cfca11,Minh Khai,Hai Bà Trưng,2600.0,30.0
606323712b913443a2cfca12,Nhân Chính,Thanh Xuân,3600.0,46.0
606323742b913443a2cfca13,Chương Dương,Thường Tín,470.0,50.0
606323752b913443a2cfca14,Mỹ Đình 1,Nam Từ Liêm,12500.0,90.0
606323772b913443a2cfca15,Khương Đình,Thanh Xuân,4450.0,55.0
606323792b913443a2cfca16,Khương Đình,Thanh Xuân,3800.0,40.0
6063237b2b913443a2cfca17,Trâu Quỳ,Gia Lâm,2450.0,50.0
606323822b913443a2cfca18,Hạ Đình,Thanh Xuân,3350.0,40.0
606323862b913443a2cfca19,Hạ Đình,Thanh Xuân,3650.0,50.0
606323892b913443a2cfca1a,Bùi Thị Xuân,Hai Bà Trưng,13000.0,185.0
6063238b2b913443a2cfca1b,Kiến Hưng,Hà Đông,2370.0,38.0
6063238d2b913443a2cfca1c,Xuân La,Tây Hồ,11900.0,67.0
606323902b913443a2cfca1d,Thanh Lương,Hai Bà Trưng,11000.0,90.0
606323922b913443a2cfca1e,Quất Động,Thường Tín,2296.0,82.0
606323942b913443a2cfca1f,Văn Chương,Đống Đa,1650.0,25.0
606323962b913443a2cfca20,Bồ Đề,Long Biên,7600.0,100.0
606323982b913443a2cfca21,Nghĩa Đô,Cầu Giấy,9250.0,50.0
6063239a2b913443a2cfca22,Quất Động,Thường Tín,2290.0,82.0
6063239b2b913443a2cfca23,Giang Biên,Long Biên,4500.0,50.0
6063239c2b913443a2cfca24,Nhân Chính,Thanh Xuân,3700.0,35.0
6063239d2b913443a2cfca25,Trung Liệt,Đống Đa,11000.0,67.0
606323a02b913443a2cfca26,Xuân Đỉnh,Bắc Từ Liêm,17300.0,150.0
606323a12b913443a2cfca27,Ngã Tư Sở,Đống Đa,5500.0,61.0
606323a22b913443a2cfca28,Giang Biên,Long Biên,4650.0,56.0
606323a42b913443a2cfca29,Hàng Bông,Hoàn Kiếm,35000.0,108.0
606323a52b913443a2cfca2a,Mỗ Lao,Hà Đông,7900.0,57.0
606323a72b913443a2cfca2b,Văn Chương,Đống Đa,2700.0,31.0
606323a82b913443a2cfca2c,Vĩnh Hưng,Hoàng Mai,2500.0,33.0
606323ac2b913443a2cfca2d,UNKNOW,Hoàng Mai,3100.0,45.0
606323b02b913443a2cfca2e,Cổ Nhuế 2,Bắc Từ Liêm,4100.0,47.0
606323b12b913443a2cfca2f,UNKNOW,Hà Đông,6666.0,55.0
606323b42b913443a2cfca30,Hạ Đình,Thanh Xuân,7000.0,40.0
606323b82b913443a2cfca31,Cổ Nhuế 2,Bắc Từ Liêm,1750.0,80.0
606323ba2b913443a2cfca32,Nhân Chính,Thanh Xuân,40000.0,50.0
606323bc2b913443a2cfca33,UNKNOW,Gia Lâm,15000.0,37.0
60635b3eae692a4b23956537,Xã Mai Lâm,Huyện Đông Anh,2500.0,66.0
60635b42ae692a4b23956538,Phường Thanh Xuân Trung,Quận Thanh Xuân,11500.0,70.0
60635b43ae692a4b23956539,Phường Khương Đình,Quận Thanh Xuân,7000.0,40.0
60635b44ae692a4b2395653a,Phường Quang Trung,Quận Hà Đông,5400.0,33.0
60635b45ae692a4b2395653b,Phường Long Biên,Quận Long Biên,3600.0,42.0
60635b45ae692a4b2395653c,Phường Kim Giang,Quận Thanh Xuân,5950.0,85.0
60635b47ae692a4b2395653d,Phường Cát Linh,Quận Đống Đa,14500.0,50.0
60635b47ae692a4b2395653e,Phường Bồ Đề,Quận Long Biên,4350.0,45.0
60635b48ae692a4b2395653f,Xã Đại áng,Huyện Thanh Trì,1300.0,61.0
60635b49ae692a4b23956540,Phường Thượng Đình,Quận Thanh Xuân,3250.0,33.0
60635b4aae692a4b23956541,Phường Thạch Bàn,Quận Long Biên,1900.0,31.0
60635b4bae692a4b23956542,Phường Phú Lương,Quận Hà Đông,1515.0,44.5
60635b4bae692a4b23956543,Phường Mai Động,Quận Hoàng Mai,2800.0,90.0
60635b4cae692a4b23956544,Phường Việt Hưng,Quận Long Biên,6500.0,52.0
60635b4dae692a4b23956545,Phường Đại Kim,Quận Hoàng Mai,3100.0,40.0
60635b4eae692a4b23956546,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,3200.0,73.0
60635b4fae692a4b23956547,Phường Thạch Bàn,Quận Long Biên,2550.0,32.0
60635b50ae692a4b23956548,Xã Kim Chung,Huyện Hoài Đức,1150.0,69.0
